assists,games,goals,id,key_passes,league,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,year,yellow_cards
0,8,1,3356,2,RFPL,1,0.5974389910697937,Adama Soumaoro,D S,0,1,Genoa,638,0.06423695757985115,0.5974389910697937,0.37941268645226955,0.4124381076544523,2021,2
0,31,1,3387,2,RFPL,1,0.7301740162074566,Nicolas N&#039;Koulou,D S,1,10,Torino,2688,0.03851737082004547,0.7301740162074566,6.432508957572281,6.661883647553623,2021,3
0,13,1,3857,5,RFPL,1,0.9222220992669463,Andrea Tabanelli,M S,0,11,Lecce,960,0.13374738954007626,0.9222220992669463,2.0928366002626717,2.9509724508970976,2021,4
0,11,1,3893,1,RFPL,1,0.7643875796347857,Lukas Haraslin,F M S,0,10,Sassuolo,376,0.06888730078935623,0.7643875796347857,0.7880141027271748,1.5027973148971796,2021,1
1,21,1,4912,14,RFPL,1,1.742644151672721,Paolo Faragò,D M S,0,13,Cagliari,1324,0.5297174723818898,1.742644151672721,4.803810762241483,5.64761234074831,2021,3
0,12,1,4957,7,RFPL,1,0.8105815416201949,Alessandro Semprini,D S,0,2,Brescia,618,0.2762774284929037,0.8105815416201949,0.4582152171060443,1.429175310768187,2021,2
0,15,1,5246,9,RFPL,1,0.4752929760143161,Diego Demme,M S,0,4,Napoli,909,0.3969874866306782,0.4752929760143161,4.05623472109437,4.804469995200634,2021,6
1,14,1,5700,11,RFPL,1,0.47610149532556534,Yann Karamoh,F M S,0,11,Parma Calcio 1913,568,1.2241994179785252,0.47610149532556534,0.5961647499352694,2.0690363496541977,2021,0
1,27,1,5910,20,RFPL,1,1.534470209851861,Zan Majer,M S,0,19,Lecce,1663,1.3214641502127051,1.534470209851861,3.7693251771852374,6.173262361437082,2021,7
1,21,1,6021,11,RFPL,1,0.9377897493541241,Lukas Lerager,M S,0,15,Genoa,1379,2.006919457577169,0.9377897493541241,3.6738790087401867,5.406706053763628,2021,5
2,27,1,6157,21,RFPL,1,1.9758135471493006,Timothy Castagne,D M S,0,17,Atalanta,1762,2.6685311822220683,1.9758135471493006,7.808307924307883,10.48692078795284,2021,4
0,32,1,6159,12,RFPL,1,2.8419885635375977,Gianluca Mancini,D M S,1,21,Roma,2747,0.7721154149621725,2.8419885635375977,5.9513535890728235,7.154853655025363,2021,14
1,26,1,6177,4,RFPL,1,0.531046986579895,Luiz Felipe,D S,0,8,Lazio,2026,0.4858948867768049,0.531046986579895,5.678064752370119,6.169889103621244,2021,6
0,17,1,6203,8,RFPL,1,1.9233632385730743,Eddie Salcedo,F M S,0,21,Verona,666,1.6692618653178215,1.9233632385730743,0.43119215965270996,3.0295886546373367,2021,0
1,15,1,6211,10,RFPL,1,0.7676120749674737,Mehdi Leris,F M S,0,13,Sampdoria,480,1.1273093186318874,0.7676120749674737,0.9337662905454636,1.2432834203355014,2021,0
3,33,1,6262,24,RFPL,1,1.228252051398158,Jens Stryger Larsen,D S,0,12,Udinese,2805,2.2160784918814898,1.228252051398158,5.91184164956212,8.114472495391965,2021,5
1,15,1,6312,12,RFPL,1,0.36597816459834576,Rogerio,D S,0,11,Sassuolo,1033,0.6647518686950207,0.36597816459834576,2.3497227616608143,2.7016402147710323,2021,6
0,25,1,6324,2,RFPL,1,1.4404247514903545,Marash Kumbulla,D,1,9,Verona,1965,0.06728412583470345,1.4404247514903545,2.7131521366536617,2.780436262488365,2021,5
1,2,1,6387,1,RFPL,1,0.6458094716072083,Luca Gagliano,F S,0,2,Cagliari,54,0.03165407478809357,0.6458094716072083,0,0.6774635314941406,2021,0
1,29,1,6806,2,RFPL,1,0.5804120674729347,Rodrigo Becão,D S,0,7,Udinese,2210,0.5206644237041473,0.5804120674729347,4.333587691187859,5.102222770452499,2021,8
0,24,1,6972,13,RFPL,0,3.7146578058600426,Federico Santander,F S,0,25,Bologna,732,0.8263154570013285,4.475956620648503,1.1158711509779096,3.6098376624286175,2021,6
2,25,1,6974,19,RFPL,1,1.9971328228712082,Mattias Svanberg,M S,0,38,Bologna,1045,1.2798642283305526,1.9971328228712082,3.155803455039859,5.505716623738408,2021,2
0,31,1,6981,29,RFPL,1,1.055277967825532,Ismael Bennacer,M S,0,15,AC Milan,2499,1.5276584140956402,1.055277967825532,13.48511653766036,15.132243402302265,2021,14
